docker compose logs -t -f
distribuidos-coffee-shop-analysis-grouper_q4_v2-1                      | 2025-11-16T19:56:27.484292597Z 2025-11-16 19:56:27,483 [INFO] Pika version 1.3.2 connecting to ('172.18.0.5', 5672)
distribuidos-coffee-shop-analysis-grouper_q4_v2-1                      | 2025-11-16T19:56:27.484305888Z 2025-11-16 19:56:27,483 [INFO] Socket connected: <socket.socket fd=10, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=6, laddr=('172.18.0.78', 50292), raddr=('172.18.0.5', 5672)>
distribuidos-coffee-shop-analysis-grouper_q4_v2-1                      | 2025-11-16T19:56:27.484308930Z 2025-11-16 19:56:27,484 [INFO] Streaming transport linked up: (<pika.adapters.utils.io_services_utils._AsyncPlaintextTransport object at 0xffffabe6d220>, _StreamingProtocolShim: <SelectConnection PROTOCOL transport=<pika.adapters.utils.io_services_utils._AsyncPlaintextTransport object at 0xffffabe6d220> params=<ConnectionParameters host=rabbitmq port=5672 virtual_host=/ ssl=False>>).
distribuidos-coffee-shop-analysis-grouper_q4_v2-1                      | 2025-11-16T19:56:27.491404972Z 2025-11-16 19:56:27,490 [INFO] AMQPConnector - reporting success: <SelectConnection OPEN transport=<pika.adapters.utils.io_services_utils._AsyncPlaintextTransport object at 0xffffabe6d220> params=<ConnectionParameters host=rabbitmq port=5672 virtual_host=/ ssl=False>>
distribuidos-coffee-shop-analysis-grouper_q4_v2-1                      | 2025-11-16T19:56:27.491426430Z 2025-11-16 19:56:27,490 [INFO] AMQPConnectionWorkflow - reporting success: <SelectConnection OPEN transport=<pika.adapters.utils.io_services_utils._AsyncPlaintextTransport object at 0xffffabe6d220> params=<ConnectionParameters host=rabbitmq port=5672 virtual_host=/ ssl=False>>
distribuidos-coffee-shop-analysis-grouper_q4_v2-1                      | 2025-11-16T19:56:27.491429097Z 2025-11-16 19:56:27,491 [INFO] Connection workflow succeeded: <SelectConnection OPEN transport=<pika.adapters.utils.io_services_utils._AsyncPlaintextTransport object at 0xffffabe6d220> params=<ConnectionParameters host=rabbitmq port=5672 virtual_host=/ ssl=False>>
distribuidos-coffee-shop-analysis-grouper_q4_v2-1                      | 2025-11-16T19:56:27.491431430Z 2025-11-16 19:56:27,491 [INFO] Created channel=1
distribuidos-coffee-shop-analysis-grouper_q4_v2-1                      | 2025-11-16T19:56:27.501854888Z 2025-11-16 19:56:27,499 [INFO] Pika version 1.3.2 connecting to ('172.18.0.5', 5672)
distribuidos-coffee-shop-analysis-grouper_q4_v2-1                      | 2025-11-16T19:56:27.501872930Z 2025-11-16 19:56:27,499 [INFO] Socket connected: <socket.socket fd=14, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=6, laddr=('172.18.0.78', 50306), raddr=('172.18.0.5', 5672)>
distribuidos-coffee-shop-analysis-reducer_q4-1                         | 2025-11-16T19:56:28.635422222Z 2025-11-16 19:56:28 INFO     Connection workflow succeeded: <SelectConnection OPEN transport=<pika.adapters.utils.io_services_utils._AsyncPlaintextTransport object at 0xffff851c4a00> params=<ConnectionParameters host=rabbitmq port=5672 virtual_host=/ ssl=False>>
distribuidos-coffee-shop-analysis-reducer_q4-1                         | 2025-11-16T19:56:28.638618055Z 2025-11-16 19:56:28 INFO     Created channel=1
distribuidos-coffee-shop-analysis-reducer_q4-1                         | 2025-11-16T19:56:28.641640805Z 2025-11-16 19:56:28 INFO     Pika version 1.3.2 connecting to ('172.18.0.5', 5672)
distribuidos-coffee-shop-analysis-reducer_q4-1                         | 2025-11-16T19:56:28.642006305Z 2025-11-16 19:56:28 INFO     Socket connected: <socket.socket fd=14, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=6, laddr=('172.18.0.82', 44136), raddr=('172.18.0.5', 5672)>
distribuidos-coffee-shop-analysis-reducer_q4-1                         | 2025-11-16T19:56:28.642572597Z 2025-11-16 19:56:28 INFO     Streaming transport linked up: (<pika.adapters.utils.io_services_utils._AsyncPlaintextTransport object at 0xffff851f27f0>, _StreamingProtocolShim: <SelectConnection PROTOCOL transport=<pika.adapters.utils.io_services_utils._AsyncPlaintextTransport object at 0xffff851f27f0> params=<ConnectionParameters host=rabbitmq port=5672 virtual_host=/ ssl=False>>).
distribuidos-coffee-shop-analysis-reducer_q4-1                         | 2025-11-16T19:56:28.651090680Z 2025-11-16 19:56:28 INFO     AMQPConnector - reporting success: <SelectConnection OPEN transport=<pika.adapters.utils.io_services_utils._AsyncPlaintextTransport object at 0xffff851f27f0> params=<ConnectionParameters host=rabbitmq port=5672 virtual_host=/ ssl=False>>
distribuidos-coffee-shop-analysis-reducer_q4-1                         | 2025-11-16T19:56:28.651103680Z 2025-11-16 19:56:28 INFO     AMQPConnectionWorkflow - reporting success: <SelectConnection OPEN transport=<pika.adapters.utils.io_services_utils._AsyncPlaintextTransport object at 0xffff851f27f0> params=<ConnectionParameters host=rabbitmq port=5672 virtual_host=/ ssl=False>>
distribuidos-coffee-shop-analysis-grouper_q4_v2-1                      | 2025-11-16T19:56:27.501881555Z 2025-11-16 19:56:27,500 [INFO] Streaming transport linked up: (<pika.adapters.utils.io_services_utils._AsyncPlaintextTransport object at 0xffffabe6de80>, _StreamingProtocolShim: <SelectConnection PROTOCOL transport=<pika.adapters.utils.io_services_utils._AsyncPlaintextTransport object at 0xffffabe6de80> params=<ConnectionParameters host=rabbitmq port=5672 virtual_host=/ ssl=False>>).
distribuidos-coffee-shop-analysis-grouper_q4_v2-1                      | 2025-11-16T19:56:27.508209055Z 2025-11-16 19:56:27,505 [INFO] AMQPConnector - reporting success: <SelectConnection OPEN transport=<pika.adapters.utils.io_services_utils._AsyncPlaintextTransport object at 0xffffabe6de80> params=<ConnectionParameters host=rabbitmq port=5672 virtual_host=/ ssl=False>>
distribuidos-coffee-shop-analysis-grouper_q4_v2-1                      | 2025-11-16T19:56:27.508222305Z 2025-11-16 19:56:27,505 [INFO] AMQPConnectionWorkflow - reporting success: <SelectConnection OPEN transport=<pika.adapters.utils.io_services_utils._AsyncPlaintextTransport object at 0xffffabe6de80> params=<ConnectionParameters host=rabbitmq port=5672 virtual_host=/ ssl=False>>
distribuidos-coffee-shop-analysis-grouper_q4_v2-1                      | 2025-11-16T19:56:27.508224805Z 2025-11-16 19:56:27,506 [INFO] Connection workflow succeeded: <SelectConnection OPEN transport=<pika.adapters.utils.io_services_utils._AsyncPlaintextTransport object at 0xffffabe6de80> params=<ConnectionParameters host=rabbitmq port=5672 virtual_host=/ ssl=False>>
distribuidos-coffee-shop-analysis-grouper_q4_v2-1                      | 2025-11-16T19:56:27.508227097Z 2025-11-16 19:56:27,506 [INFO] Created channel=1
distribuidos-coffee-shop-analysis-grouper_q4_v2-1                      | 2025-11-16T19:56:27.516612805Z 2025-11-16 19:56:27,515 [INFO] Pika version 1.3.2 connecting to ('172.18.0.5', 5672)
distribuidos-coffee-shop-analysis-grouper_q4_v2-1                      | 2025-11-16T19:56:27.516627472Z 2025-11-16 19:56:27,515 [INFO] Socket connected: <socket.socket fd=18, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=6, laddr=('172.18.0.78', 50322), raddr=('172.18.0.5', 5672)>
distribuidos-coffee-shop-analysis-grouper_q4_v2-1                      | 2025-11-16T19:56:27.516630305Z 2025-11-16 19:56:27,515 [INFO] Streaming transport linked up: (<pika.adapters.utils.io_services_utils._AsyncPlaintextTransport object at 0xffffab4b68e0>, _StreamingProtocolShim: <SelectConnection PROTOCOL transport=<pika.adapters.utils.io_services_utils._AsyncPlaintextTransport object at 0xffffab4b68e0> params=<ConnectionParameters host=rabbitmq port=5672 virtual_host=/ ssl=False>>).
distribuidos-coffee-shop-analysis-grouper_q4_v2-1                      | 2025-11-16T19:56:27.529502055Z 2025-11-16 19:56:27,528 [INFO] AMQPConnector - reporting success: <SelectConnection OPEN transport=<pika.adapters.utils.io_services_utils._AsyncPlaintextTransport object at 0xffffab4b68e0> params=<ConnectionParameters host=rabbitmq port=5672 virtual_host=/ ssl=False>>
