docker compose logs --timestamps -f
joiner_q1                          | 2025-10-01T02:58:14.313559850Z Received message from transactions_filtered_Q1_b: msg_type=1, data_type=1, payload_len=3405
joiner_q1                          | 2025-10-01T02:58:14.313575622Z Wrote 52 rows to /app/output/q1_unsorted.csv. Total rows written: 3486
joiner_q1                          | 2025-10-01T02:58:14.407472788Z Received message from transactions_filtered_Q1_b: msg_type=1, data_type=1, payload_len=3528
joiner_q1                          | 2025-10-01T02:58:14.409990394Z Wrote 54 rows to /app/output/q1_unsorted.csv. Total rows written: 3540
joiner_q1                          | 2025-10-01T02:58:14.563095712Z Received message from transactions_filtered_Q1_b: msg_type=1, data_type=1, payload_len=3862
joiner_q1                          | 2025-10-01T02:58:14.563109581Z Wrote 59 rows to /app/output/q1_unsorted.csv. Total rows written: 3599
joiner_q1                          | 2025-10-01T02:58:14.711745323Z Received message from transactions_filtered_Q1_b: msg_type=1, data_type=1, payload_len=3016
joiner_q1                          | 2025-10-01T02:58:14.711761635Z Wrote 46 rows to /app/output/q1_unsorted.csv. Total rows written: 3645
joiner_q1                          | 2025-10-01T02:58:14.764522525Z Received message from transactions_filtered_Q1_b: msg_type=1, data_type=1, payload_len=2553
joiner_q1                          | 2025-10-01T02:58:14.764537546Z Wrote 39 rows to /app/output/q1_unsorted.csv. Total rows written: 3684
joiner_q1                          | 2025-10-01T02:58:14.820939437Z Received message from transactions_filtered_Q1_b: msg_type=1, data_type=1, payload_len=3665
joiner_q1                          | 2025-10-01T02:58:14.820952504Z Wrote 56 rows to /app/output/q1_unsorted.csv. Total rows written: 3740
joiner_q1                          | 2025-10-01T02:58:15.009347292Z Received message from transactions_filtered_Q1_b: msg_type=1, data_type=1, payload_len=3870
joiner_q1                          | 2025-10-01T02:58:15.009358437Z Wrote 59 rows to /app/output/q1_unsorted.csv. Total rows written: 3799
joiner_q1                          | 2025-10-01T02:58:15.081253605Z Received message from transactions_filtered_Q1_b: msg_type=1, data_type=1, payload_len=3404
joiner_q1                          | 2025-10-01T02:58:15.081257570Z Wrote 52 rows to /app/output/q1_unsorted.csv. Total rows written: 3851
joiner_q1                          | 2025-10-01T02:58:15.218184759Z Received message from transactions_filtered_Q1_b: msg_type=1, data_type=1, payload_len=3724
joiner_q1                          | 2025-10-01T02:58:15.218202453Z Wrote 57 rows to /app/output/q1_unsorted.csv. Total rows written: 3908
joiner_q1                          | 2025-10-01T02:58:15.401840002Z Received message from transactions_filtered_Q1_b: msg_type=1, data_type=1, payload_len=3327
joiner_q1                          | 2025-10-01T02:58:15.401855633Z Wrote 51 rows to /app/output/q1_unsorted.csv. Total rows written: 3959
joiner_q1                          | 2025-10-01T02:58:15.558393397Z Received message from transactions_filtered_Q1_b: msg_type=1, data_type=1, payload_len=2683
joiner_q1                          | 2025-10-01T02:58:15.558409639Z Wrote 41 rows to /app/output/q1_unsorted.csv. Total rows written: 4000
joiner_q1                          | 2025-10-01T02:58:15.808583643Z Received message from transactions_filtered_Q1_b: msg_type=1, data_type=1, payload_len=3655
joiner_q1                          | 2025-10-01T02:58:15.808598904Z Wrote 56 rows to /app/output/q1_unsorted.csv. Total rows written: 4056
joiner_q1                          | 2025-10-01T02:58:16.019800648Z Received message from transactions_filtered_Q1_b: msg_type=1, data_type=1, payload_len=2817
joiner_q1                          | 2025-10-01T02:58:16.021941119Z Wrote 43 rows to /app/output/q1_unsorted.csv. Total rows written: 4099
joiner_q1                          | 2025-10-01T02:58:16.248000349Z Received message from transactions_filtered_Q1_b: msg_type=1, data_type=1, payload_len=2489
joiner_q1                          | 2025-10-01T02:58:16.250219838Z Wrote 38 rows to /app/output/q1_unsorted.csv. Total rows written: 4137
joiner_q1                          | 2025-10-01T02:58:16.278414400Z Received message from transactions_filtered_Q1_b: msg_type=1, data_type=1, payload_len=3133
joiner_q1                          | 2025-10-01T02:58:16.278425765Z Wrote 48 rows to /app/output/q1_unsorted.csv. Total rows written: 4185
